255	117	24	1
127	255	212	2
102	205	170	3
227	38	54	4
255	255	0	5
255	255	224	6
173	255	47	7
255	191	0	8
221	160	221	9
153	102	204	10
255	235	205	11
123	160	91	12
0	0	255	13
240	248	255	14
106	90	205	15
72	61	139	16
123	104	238	17
70	130	180	18
176	196	222	19
95	158	160	20
240	255	255	21
0	127	255	22
173	216	230	23
0	71	171	24
135	206	235	25
135	206	250	26
0	191	255	27
0	0	139	28
100	149	237	29
30	144	255	30
18	10	143	31
25	25	112	32
0	0	205	33
176	224	230	34
65	105	225	35
138	43	226	36
244	196	48	37
245	245	220	38
128	0	0	39
128	0	32	40
255	255	255	41
250	235	215	42
248	248	255	43
255	250	240	44
245	245	245	45
255	222	173	46
205	127	50	47
210	180	140	48
240	230	140	49
216	191	216	50
220	20	60	51
210	180	140	52
237	145	33	53
222	49	99	54
210	105	30	55
0	255	255	56
224	255	255	57
0	139	139	58
128	128	128	59
112	128	144	60
119	136	153	61
47	79	79	62
211	211	211	63
169	169	169	64
105	105	105	65
220	220	220	66
184	115	51	67
255	245	238	68
255	127	80	69
240	128	128	70
240	220	130	71
255	253	208	72
255	228	196	73
245	255	250	74
189	183	107	75
251	206	177	76
218	165	32	77
184	134	11	78
238	232	170	79
255	36	0	80
80	200	120	81
183	65	14	82
61	43	31	83
255	0	255	84
46	139	87	85
75	0	130	86
0	168	107	87
255	69	0	88
255	165	0	89
255	140	0	90
230	230	250	91
255	240	245	92
200	162	200	93
191	255	0	94
253	233	16	95
250	240	230	96
222	184	135	97
139	0	139	98
224	176	255	99
255	239	213	100
240	255	240	101
255	255	240	102
150	75	0	103
244	164	96	104
165	42	42	105
188	143	143	106
139	69	19	107
251	236	93	108
255	248	220	109
255	228	181	110
255	219	88	111
0	0	128	112
255	250	250	113
204	119	34	114
128	128	0	115
85	107	47	116
107	142	35	117
218	112	214	118
153	50	204	119
186	85	211	120
255	215	0	121
205	133	63	122
192	192	192	123
0	0	0	124
255	218	185	125
128	0	128	126
147	112	219	127
253	245	230	128
255	192	203	129
255	0	127	130
252	15	192	131
255	182	193	132
255	228	225	133
255	105	180	134
255	20	147	135
153	51	153	136
109	53	26	137
250	128	114	138
255	160	122	139
233	150	122	140
255	250	205	141
139	87	66	142
226	114	91	143
178	34	34	144
255	99	71	145
245	222	179	146
64	224	208	147
0	206	209	148
72	209	204	149
175	238	238	150
0	255	0	151
154	205	50	152
144	238	144	153
0	100	0	154
34	139	34	155
50	205	50	156
124	252	0	157
32	178	170	158
143	188	143	159
60	179	113	160
120	134	107	161
127	255	0	162
0	255	127	163
0	250	154	164
152	251	152	165
0	128	128	166
255	0	0	167
139	0	0	168
205	92	92	169
199	21	133	170
219	112	147	171
238	130	238	172
148	0	211	173
